prawn_id;wet_weight(g);dry_weight(g);eggs;carapace(cm);total_length(cm);replicate;site;sample;month;year
A128051;0.06;0.00;0;6;23;1;A;1;may;2025
B228051;2.19;0.49;0;20;77;2;B;1;may;2025
B228052;0.19;0.00;0;10;35;2;B;1;may;2025
B228053;1.01;0.13;0;17;57;2;B;1;may;2025
B228054;0.25;0.00;0;11;33;2;B;1;may;2025
B228055;0.15;0.00;0;10;29;2;B;1;may;2025
B328051;0.19;0.00;0;13;36;3;B;1;may;2025
B328052;0.07;0.00;0;7;26;3;B;1;may;2025
B328053;0.09;0.00;0;9;29;3;B;1;may;2025
B328054;0.04;0.00;0;5;21;3;B;1;may;2025
B328055;0.05;0.00;0;4;25;3;B;1;may;2025
A125061;1.02;0.19;26;17;41;1;A;2;june;2025
A125062;1.91;0.39;0;17;65;1;A;2;june;2025
A125063;0.22;0.00;0;7;32;1;A;2;june;2025
A125064;0.15;0.00;0;6;30;1;A;2;june;2025
A125065;0.10;0.00;0;5;26;1;A;2;june;2025
A125066;0.15;0.00;0;7;25;1;A;2;june;2025
A125067;0.11;0.00;0;5;28;1;A;2;june;2025
A125068;0.08;0.00;0;5;22;1;A;2;june;2025
A125069;0.07;0.00;0;4;18;1;A;2;june;2025
A225061;4.12;0.92;0;17;80;2;A;2;june;2025
A225062;1.57;0.38;0;13;63;2;A;2;june;2025
A225063;2.18;0.63;0;11;62;2;A;2;june;2025
A225064;1.44;0.32;0;11;53;2;A;2;june;2025
A225065;1.32;0.31;0;15;50;2;A;2;june;2025
A225066;0.06;0.00;0;5;17;2;A;2;june;2025
A225067;0.23;0.00;0;7;26;2;A;2;june;2025
A225068;0.07;0.00;0;5;19;2;A;2;june;2025
A325061;1.75;0.55;0;10;50;3;A;2;june;2025
A325062;3.44;0.92;0;15;72;3;A;2;june;2025
A325063;0.13;0.00;0;5;29;3;A;2;june;2025
A325064;3.17;0.80;0;14;73;3;A;2;june;2025
A325065;1.80;0.42;123;20;53;3;A;2;june;2025
A325066;2.30;0.73;103;15;62;3;A;2;june;2025
A325067;0.18;0.00;0;7;22;3;A;2;june;2025
A325068;0.10;0.00;0;7;21;3;A;2;june;2025
B125061;0.60;0.11;0;10;37;1;B;2;june;2025
B125062;0.28;0.04;0;9;30;1;B;2;june;2025
B125063;0.17;0.03;0;6;28;1;B;2;june;2025
