site;replicate;dry_weight;ash_weight;sample;month;year
A;1;23.79;22.67;1;may;2025
A;2;24.48;23.94;1;may;2025
A;3;20.94;20.43;1;may;2025
B;1;25.3;22.66;1;may;2025
B;2;20.98;19.52;1;may;2025
B;3;22.13;20.87;1;may;2025
A;1;19.55;19.07;2;june;2025
A;2;17.08;16.71;2;june;2025
A;3;21.4;20.92;2;june;2025
B;1;20.72;20.23;2;june;2025
B;2;23.32;22.77;2;june;2025
B;3;26.25;25.11;2;june;2025
C;1;28.9;27.9;2;june;2025
C;2;22.42;21.63;2;june;2025
C;3;25.12;24.64;2;june;2025
A;1;25.25;24.53;3;july;2025
A;2;25.17;24.64;3;july;2025
A;3;26.54;26.1;3;july;2025
B;1;25.36;23.06;3;july;2025
B;2;22.19;21.31;3;july;2025
B;3;21.18;19.6;3;july;2025
C;1;27.48;24.96;3;july;2025
C;2;27.54;26.43;3;july;2025
C;3;22.49;21.68;3;july;2025
A;1;25.42;24.45;4;september;2025
A;2;28.08;26.35;4;september;2025
A;3;25.48;24.48;4;september;2025
B;1;25.89;24.63;4;september;2025
B;2;24.88;23.5;4;september;2025
B;3;31.65;28.63;4;september;2025
C;1;23.74;23.04;4;september;2025
C;2;28.16;27.0;4;september;2025
C;3;28.82;27.87;4;september;2025
A;1;21.07;20.90;5;october;2025
A;2;31.64;30.71;5;october;2025
A;3;29.83;29.25;5;october;2025
B;1;24.35;24.11;5;october;2025
B;2;29.45;28.90;5;october;2025
B;3;25.15;24.82;5;october;2025
C;1;31.31;31.02;5;october;2025
C;2;27.22;29.96;5;october;2025
C;3;24.28;24.03;5;october;2025
B;1;24.50;24.23;6;december;2025
B;2;20.71;20.46;6;december;2025
B;3;27.84;27.61;6;december;2025
C;1;21.02;20.64;6;december;2025
C;2;22.96;22.60;6;december;2025
C;3;20.05;19.71;6;december;2025
A;1;20.11;19.79;7;january;2026
A;2;22.01;21.65;7;january;2026
A;3;20.82;20.51;7;january;2026
B;1;27.52;27.09;7;january;2026
B;2;26.31;25.75;7;january;2026
B;3;23.37;23.16;7;january;2026
C;1;23.18;22.96;7;january;2026
C;2;27.31;27.07;7;january;2026
C;3;20.81;20.63;7;january;2026
A;1;30.01;29.16;8;february;2026
A;2;30.87;29.65;8;february;2026
A;3;29.40;27.92;8;february;2026
B;1;21.51;21.21;8;february;2026
B;2;20.59;20.39;8;february;2026
B;3;26.06;25.82;8;february;2026
C;1;26.13;25.84;8;february;2026
C;2;27.50;27.24;8;february;2026
C;3;21.80;21.70;8;february;2026
