prawn_id;wet_weight;dry_weight;eggs;carapace;total_length;replicate;site;sample;month
A128051;0.06;0;0;6;23;1;A;1;may
B228051;2.19;0.49;0;20;77;2;B;1;may
B228052;0.19;0;0;10;35;2;B;1;may
B228053;1.01;0.13;0;17;57;2;B;1;may
B228054;0.25;0;0;11;33;2;B;1;may
B228055;0.15;0;0;10;29;2;B;1;may
B328051;0.19;0;0;13;36;3;B;1;may
B328052;0.07;0;0;7;26;3;B;1;may
B328053;0.09;0;0;9;29;3;B;1;may
B328054;0.04;0;0;5;21;3;B;1;may
B328055;0.05;0;0;4;25;3;B;1;may
A125061;1.02;0.19;26;17;41;1;A;2;june
A125062;1.91;0.39;0;17;65;1;A;2;june
A125063;0.22;0;0;7;32;1;A;2;june
A125064;0.15;0;0;6;30;1;A;2;june
A125065;0.1;0;0;5;26;1;A;2;june
A125066;0.15;0;0;7;25;1;A;2;june
A125067;0.11;0;0;5;28;1;A;2;june
A125068;0.08;0;0;5;22;1;A;2;june
A125069;0.07;0;0;4;18;1;A;2;june
A225061;4.12;0.92;0;17;80;2;A;2;june
A225062;1.57;0.38;0;13;63;2;A;2;june
A225063;2.18;0.63;0;11;62;2;A;2;june
A225064;1.44;0.32;0;11;53;2;A;2;june
A225065;1.32;0.31;0;15;50;2;A;2;june
A225066;0.06;0;0;5;17;2;A;2;june
A225067;0.23;0;0;7;26;2;A;2;june
A225068;0.07;0;0;5;19;2;A;2;june
A325061;1.75;0.55;0;10;50;3;A;2;june
A325062;3.44;0.92;0;15;72;3;A;2;june
A325063;0.13;0;0;5;29;3;A;2;june
A325064;3.17;0.8;0;14;73;3;A;2;june
A325065;1.8;0.42;123;20;53;3;A;2;june
A325066;2.3;0.73;103;15;62;3;A;2;june
A325067;0.18;0;0;7;22;3;A;2;june
A325068;0.1;0;0;7;21;3;A;2;june
B125061;0.6;0.11;0;10;36.6;1;B;2;june
B125062;0.28;0.04;0;9;30;1;B;2;june
B125063;0.17;0.03;0;6;28;1;B;2;june
B125064;0.15;0.03;0;6;31;1;B;2;june
B125065;0.09;0;0;4;23;1;B;2;june
B225061;2.53;0.73;0;11;65;2;B;2;june
B225062;0.45;0.08;0;10;35;2;B;2;june
B225063;0.49;0.09;0;9;37;2;B;2;june
B225064;0.31;0.03;0;7;30;2;B;2;june
B225065;0.13;0;0;6;25;2;B;2;june
B225066;0.04;0;0;5;15;2;B;2;june
B325061;0.83;0.1;0;11;45;3;B;2;june
B325062;1.23;0.25;0;11;55;3;B;2;june
B325063;0.08;0;0;5;23;3;B;2;june
B325064;1.03;0.21;0;10;55;3;B;2;june
C125061;4.2;1.17;0;18;85;1;C;2;june
C125062;0.8;0.17;0;11;43;1;C;2;june
C125063;0.37;0.05;0;9;34;1;C;2;june
C125064;0.19;0;0;8;24;1;C;2;june
C125065;0.15;0;0;4;25;1;C;2;june
C125066;0.13;0;0;5;21;1;C;2;june
C125067;0.06;0;0;3;17;1;C;2;june
C225061;2.55;0.45;0;20;72;2;C;2;june
C225062;0.29;0;0;8;31;2;C;2;june
C325061;0.29;0;0;6;26;3;C;2;june
C325062;0.51;0.05;0;11;36;3;C;2;june
C325063;0.1;0;0;4;20;3;C;2;june
A126071;0.26;0.05;0;13;30;1;A;3;july
A126072;1.05;0.17;0;15;48;1;A;3;july
A126073;2.2;0.54;0;22;57;1;A;3;july
A126074;3.94;1.17;0;25;65;1;A;3;july
A126075;0.48;0.07;0;11;35;1;A;3;july
A126076;0.12;0;0;7;18;1;A;3;july
A226071;1.55;0.32;0;20;60;2;A;3;july
A226072;0.81;0.16;0;16;50;2;A;3;july
A226073;0.07;0;0;7;20;2;A;3;july
A226074;0.3;0.05;0;12;32;2;A;3;july
A226075;0.3;0.03;0;10;31;2;A;3;july
A226076;0.13;0;0;13;35;2;A;3;july
A326071;1.3;0.25;0;18;47;3;A;3;july
A326072;0.58;0.08;0;16;;3;A;3;july
A326073;0.33;0.04;0;15;38;3;A;3;july
A326074;0.13;0;0;14;27;3;A;3;july
B126071;0.86;0.1;0;18;36;1;B;3;july
B126072;0.53;0.11;0;13;39;1;B;3;july
B126073;1.24;0.23;120;13;49;1;B;3;july
B226071;0.85;0.19;0;15;46;2;B;3;july
B226072;0.92;0.21;0;13;44;2;B;3;july
B226073;0.62;0.13;0;15;39;2;B;3;july
B226074;0.19;0.03;0;7;26;2;B;3;july
B226075;0.23;0.03;0;6;24;2;B;3;july
B226076;0.07;0.1;0;4;15;2;B;3;july
B326071;0.52;0;0;10;35;3;B;3;july
B326072;0.33;0.03;0;10;30;3;B;3;july
C127071;2.39;0.44;0;24;62;1;C;3;july
C227071;0.16;0.02;0;7;20;2;C;3;july
C227072;0.06;0.00;0;4;15;2;C;3;july
C227073;0.05;0.00;0;5;15;2;C;3;july
C327071;0.07;0.00;0;4;16;3;C;3;july
C327072;0.04;0.00;0;4;17;3;C;3;july
A119091;2.66;0.37;0;15;;1;A;4;september
A119092;1.46;0.45;0;13;;1;A;4;september
A219091;0.21;0.02;0;9;;2;A;4;september
A219092;2.69;0.50;0;11;60;2;A;4;september
A219093;1.36;0.15;0;12;45;2;A;4;september
A319091;0.34;0.04;0;10;;;A;4;september
A319092;0.34;0.00;0;9;30;;A;4;september
A319093;0.36;0.02;0;8;32;;A;4;september
A319094;0.05;0.00;0;4;16;;A;4;september
A319095;0.29;0.00;0;3;27;;A;4;september
A319096;0.255;0.00;0;5;28;;A;4;september
A319097;1.75;0.41;0;13;55;;A;4;september
A319098;1.82;0.29;0;18;58;;A;4;september
A319099;2.17;0.44;0;18;60;;A;4;september
B119091;0.77;0.15;72;9;40;;B;4;september
B119092;1.05;0.18;0;8;49;;B;4;september
B119093;0.64;0.11;0;7;37;;B;4;september
B119094;0.17;0.00;0;5;25;;B;4;september
B219091;1.39;0.27;0;12;55;;B;4;september
B219092;1.23;0.24;0;11;54;;B;4;september
B219093;0.83;0.15;0;14;;;B;4;september
B219094;0.63;0.16;0;10;;;B;4;september
B219095;0.28;0.00;0;8;28;;B;4;september
B319091;1.81;0.39;0;17;61;;B;4;september
B319092;1.07;0.19;0;10;49;;B;4;september
B319093;0.05;0.00;0;4;19;;B;4;september
B319094;0.09;0.00;0;5;20;;B;4;september
B319095;0.06;0.00;0;4;18;;B;4;september
B319096;0.58;0.10;0;9;39;;B;4;september
C119091;2.41;0.90;0;21;66;;C;4;september
C119092;2.68;0.57;0;16;;;C;4;september
C119093;1.21;0.23;0;15;;;C;4;september
C119094;1.77;0.50;0;18;57;;C;4;september
C119095;0.75;0.11;0;11;40;;C;4;september
C119096;0.80;0.12;0;9;38;;C;4;september
C119097;0.70;0.09;0;8;35;;C;4;september
C119098;0.23;0.00;0;6;30;;C;4;september
C119099;0.19;0.00;0;5;25;;C;4;september
C1190910;0.13;0.00;0;4;21;;C;4;september
C1190911;0.10;0.00;0;3;20;;C;4;september
C1190912;0.07;0.00;0;3;18;;C;4;september
C219091;0.31;0.03;0;10;30;;C;4;september
C319091;0.44;0.09;0;12;33;;C;4;september
C319092;0.06;0.00;0;4;20;;C;4;september
C319093;0.31;0.04;0;5;33;;C;4;september
