site,replicate,dry_weight,ash_weight,sample,month
A,1,23.79,22.67,1,may
A,2,24.48,23.94,1,may
A,3,20.94,20.43,1,may
B,1,25.3,22.66,1,may
B,2,20.98,19.52,1,may
B,3,22.13,20.87,1,may
A,1,19.55,19.07,2,june
A,2,17.08,16.71,2,june
A,3,21.4,20.92,2,june
B,1,20.72,20.23,2,june
B,2,23.32,22.77,2,june
B,3,26.25,25.11,2,june
C,1,28.9,27.9,2,june
C,2,22.42,21.63,2,june
C,3,25.12,24.64,2,june
A,1,25.25,24.53,3,july
A,2,25.17,24.64,3,july
A,3,26.54,26.1,3,july
B,1,25.36,23.06,3,july
B,2,22.19,21.31,3,july
B,3,21.18,19.6,3,july
C,1,27.48,24.96,3,july
C,2,27.54,26.43,3,july
C,3,22.49,21.68,3,july
